"Código","Nombre","Tipo de accesorio","Subtipo","Unidad de medida","Valor 1","Valor 2","Valor 3","Valor 4","Valor 5","Peso","Norma"
"A0000324","BRIDA SERIE 150 (219,10x10,31) WN RF ASTM A 105 B16.5 PESO 19,05 8"" SCH 60","BRIDA","SERIE 150","un","219.1","10.31","","","WN RF","19.05","ASTM A 105 B16.5"
"A0000323","BRIDA SERIE 300 (33,40x4,55) SW RF ASTM A 105 B16.5 PESO 1,40 1"" SCH 80","BRIDA","SERIE 300","un","33.4","4.55","","","SW RF","1.4","ASTM A 105 B16.5"
"A0000322","CODO RL 90º (60,30x11,07) ASTM A 234 GB WPB PESO 1,60 2"" SCH XXS","CODO","RL 90º","un","60.3","11.07","","","","1.6","ASTM A 234 GB WPB"
"A0000321","BRIDA SERIE 600 (114,30x13,49) WN RF ASTM A 105 B16.5 PESO 21,20 4"" SCH 160","BRIDA","SERIE 600","un","114.3","13.49","","","WN RF","21.2","ASTM A 105 B16.5"
"A0000320","BRIDA SERIE 600 (88,90x11,13) WN RF ASTM A 105 B16.5 PESO 9,10 3"" SCH XXS","BRIDA","SERIE 600","un","88.9","11.13","","","WN RF","9.1","ASTM A 105 B16.5"
"A0000319","BRIDA SERIE 600 (60,30x11,07) WN RF ASTM A 105 B16.5 PESO 5,40 2"" SCH XXS","BRIDA","SERIE 600","un","60.3","11.07","","","WN RF","5.4","ASTM A 105 B16.5"
"A0000318","RED CONC (273,00x114,30x9,27x6,02) ASTM A 234 GB WPB PESO 10,50 10x4"" SCH 40/STD","RED CONC","","un","273","114.3","9.27","6.02","","10.5","ASTM A 234 GB WPB"
"A0000317","RED CONC (219,10x114,30x12,70x8,56) ASTM A 234 GB WPB PESO 9,26 8x4"" SCH 80","RED CONC","","un","219.1","114.3","12.7","8.56","","9.26","ASTM A 234 GB WPB"
"A0000316","RED CONC (219,10x114,30x8,18x6,02) ASTM A 234 GB WPB PESO 6,31 8x4"" SCH 40/STD","RED CONC","","un","219.1","114.3","8.18","6.02","","6.31","ASTM A 234 GB WPB"
"A0000315","RED CONC (168,30x141,30x7,11x6,55) ASTM A 234 GB WPB PESO 3,93 6x5"" SCH 40/STD","RED CONC","","un","168.3","141.3","7.11","6.55","","3.93","ASTM A 234 GB WPB"
"A0000314","RED CONC (168,30x88,90x10,97x7,62) ASTM A 234 GB WPB PESO 5,72 6x3"" SCH 80","RED CONC","","un","168.3","88.9","10.97","7.62","","5.72","ASTM A 234 GB WPB"
"A0000313","RED CONC (114,30x88,90x13,49x11,13) ASTM A 234 GB WPB PESO 4,38 4x3"" SCH 160","RED CONC","","un","114.3","88.9","13.49","11.13","","4.38","ASTM A 234 GB WPB"
"A0000312","RED CONC (114,30x88,90x8,56x7,62) ASTM A 234 GB WPB PESO 2,21 4x3"" SCH 80","RED CONC","","un","114.3","88.9","8.56","7.62","","2.21","ASTM A 234 GB WPB"
"A0000311","RED CONC (88,90x48,30x5,49x3,68) ASTM A 234 GB WPB PESO 0,98 3x1 1/2"" SCH 40/STD","RED CONC","","un","88.9","48.3","5.49","3.68","","0.98","ASTM A 234 GB WPB"
"A0000310","RED CONC (60,30x48,30x5,54x5,08) ASTM A 234 GB WPB PESO 0,54 2x1 1/2"" SCH 80","RED CONC","","un","60.3","48.3","5.54","5.08","","0.54","ASTM A 234 GB WPB"
"A0000309","RED CONC (60,30x48,30x3,91x3,68) ASTM A 234 GB WPB PESO 0,41 2x1 1/2"" SCH 40/STD","RED CONC","","un","60.3","48.3","3.91","3.68","","0.41","ASTM A 234 GB WPB"
"A0000308","RED CONC (60,30x33,40x5,54x4,55) ASTM A 234 GB WPB PESO 0,54 2x1"" SCH 80","RED CONC","","un","60.3","33.4","5.54","4.55","","0.54","ASTM A 234 GB WPB"
"A0000307","TEE RED (273,00x168,30x15,09x10,97) ASTM A 234 GB WPB PESO 67,50 10x6"" SCH 80","TEE RED","","un","273","168.3","15.09","10.97","","67.5","ASTM A 234 GB WPB"
"A0000306","TEE RED (219,10x168,30x12,70x10,97) ASTM A 234 GB WPB PESO 34,50 8x6"" SCH 80","TEE RED","","un","219.1","168.3","12.7","10.97","","34.5","ASTM A 234 GB WPB"
