"Número de cliente","Razón social","Tipo de documento","Número de documento","Telefono","Correo","Localidad","Partido","Provincia","Importancia","Rubro","Zona","Responsable 1","Responsable 2"
"10039","A GIACOMELLI S.A.","CUIT","30566613766","(0351) 15 763 8712/(0351) 157638721/(0351) 157638727/0351-154032997 JAVIER FERREYRA/","","FERREYRA","CAPITAL","CORDOBA","ALTA","PARA TREFILAR","ZONA TRAFICAÑO","",""
"12908","A&C SOLUCIONES S.A","CUIT","30709849936","[]","","","","","","","","",""
"10002","A-EVANGELISTA S.A.","CUIT","30685218190","5441-6000","frivast@repsolypf.com","EZEIZA, JOSE MARIA","ESTEBAN ECHEVERRIA","BUENOS AIRES","","CONDUCCION","ZONA SUR","Dos Santos Alejandro",""
"12089","A.E.B. AMERICA S.R.L.","CUIT","30709402923","4726-1114/4726-1115/4726-1117","","EL TALAR","TIGRE","BUENOS AIRES","","","ZONA NORTE","",""
"10959","ABA GAS S.A.","CUIT","30707358684","4574-2640","","Capital Federal","CABA","CIUDAD AUTONOMA DE BUENOS AIRES","","","CAPITAL FEDERAL","",""
"12909","ABAC S R L","CUIT","30609968792","[]","","","","","","","","",""
"12121","ABELARDO ESTEBAN (VALVULAS ESTEBAN)","CUIT","20105339330","4653-0950","","CIUDADELA","TRES DE FEBRERO","BUENOS AIRES","","","ZONA NORTE","",""
"12979","ABERCAR S.R.L.","CUIT","30658121819","[]","ventas@abercar.com.ar","","","","","","ZONA TRAFICAÑO","",""
"11418","ABRATTE SUSANA ELISA","CUIT","27042668562","0223-15-6024740","","","","","","GNC","","",""
"12010","ACCESORIOS INDUSTRIALES S.R.L.","CUIT","30715067699","3476449738","","SAN LORENZO","SAN LORENZO","SANTA FE","","","","",""
"12104","ACCESORIOS ZALOZE SRL","CUIT","30593015749","4246-7324/4230-8825","","LANUS","LANUS","BUENOS AIRES","","CILINDRO HIDRAULICO","ZONA SUR","",""
"11181","ACCETUB S.A.","CUIT","30708704608","4116-2100","accetub@riggi.com.ar","Capital Federal","CABA","CIUDAD AUTONOMA DE BUENOS AIRES","","","CAPITAL FEDERAL","",""
"10504","ACD TRIDON S.A.","CUIT","30691610744","4738-1430/6999","","VILLA BALLESTER","GRL.SAN MARTIN","BUENOS AIRES","","","ZONA NORTE","",""
"12192","ACEITERA CHABAS S.A.I.C.","CUIT","30559108517","(03464)480362","","CHABAS","CASEROS","SANTA FE","","","","",""
"11712","ACEITERA GENERAL DEHEZA S.A","CUIT","30502874353","0358-4955100","","RIO CUARTO","RIO CUARTO","CORDOBA","","","","",""
"11479","ACEM S.R.L.","CUIT","30710696256","4207-8123","","VILLA DOMINICO","AVELLANEDA","BUENOS AIRES","","","ZONA SUR","",""
"10148","ACEPAR","CUIT","","005952262622702/005952226262394","","","","","","PARA CAMISAS","","",""
"13106","ACEQUIONES SRL","CUIT","33709235619","3814815750/9381-454","","","","","","","ZONA NORTE","Iglesias Gustavo",""
"12710","ACER S.R.L.","CUIT","30714060143","264 447 5041","fabricio.storniolo@acersrl.com","","","","","CONDUCCION","","",""
"10535","ACERBEN S.A.","CUIT","","4442-2292/4379","","TABLADA","LA MATANZA","BUENOS AIRES","","","ZONA TRAFICAÑO","",""
"10903","ACERBRAG","CUIT","30693170881","40067100","","Capital Federal","CABA","CIUDAD AUTONOMA DE BUENOS AIRES","","PARA CAMISAS","CAPITAL FEDERAL","",""
"10825","ACERIAS 4 C SOCIEDAD ANONIMA","CUIT","30564784806","(03471)47-2000","","LAS PAREJAS","BELGRANO","SANTA FE","","PARA CAMISAS","ZONA TRAFICAÑO","",""
"10325","ACERO CHAPA S.A.","CUIT","30628697848","0221-5880157/2946","","LA PLATA","LA PLATA","BUENOS AIRES","","","CAPITAL FEDERAL","",""
"12792","ACEROARG SRL","CUIT","30718105079","[]","a.dossantos","Capital Federal","CABA","CIUDAD AUTONOMA DE BUENOS AIRES","","","","",""
"11896","ACEROPLAT S.A.","CUIT","30709108251","4265-1000","","AVELLANEDA","AVELLANEDA","BUENOS AIRES","","","ZONA SUR","",""
"11682","ACEROS ACONCAGUA S.A.","CUIT","30640990240","0261-432-4913","","GODOY CRUZ","GODOY CRUZ","MENDOZA","","CILINDRO HIDRAULICO","","",""
"10163","ACEROS AMILCAR S.R.L.","CUIT","30710767617","4115-1333/4115-1335","","CASANOVA, ISIDRO","LA MATANZA","BUENOS AIRES","","","ZONA OESTE","",""
"11797","ACEROS ANGELETTI SA","CUIT","30501887214","4299-0110","","BURZACO","ALMIRANTE BROWN","BUENOS AIRES","","PARA CAMISAS","ZONA SUR","",""
"11242","ACEROS BALLESTER DE FUENTES RITA RAQUEL","CUIT","27206826598","4720-4487","ventas@acerosballester.com.ar","VILLA ADELINA","SAN ISIDRO","BUENOS AIRES","","","ZONA NORTE","",""
"12100","ACEROS CAS SA","CUIT","30714207365","4302-8525","","","","","","","ZONA SUR","",""
"11407","ACEROS CRIPTON","CUIT","20120347420","4686-3617","cripton@live.com.ar","","","","","","","",""
"10977","ACEROS CUFER S R L","CUIT","33639665459","(0341)457-8800/(0341)457-5951","despacho@cufer.com.ar","ROSARIO","ROSARIO","SANTA FE","","CILINDRO HIDRAULICO","ZONA TRAFICAÑO","",""
"12735","ACEROS DAHIR S.A.","CUIT","30711503362","[]","","","","","","","","",""
"11554","ACEROS DHERS","CUIT","","4137-7494/7498","","AVELLANEDA","AVELLANEDA","BUENOS AIRES","","CILINDRO HIDRAULICO","ZONA SUR","",""
"11654","ACEROS DHERS","CUIT","30569234928","4137-7494","","AVELLANEDA","AVELLANEDA","BUENOS AIRES","","","ZONA SUR","",""
"11457","ACEROS DR S.A.","CUIT","30711724997","4653-3183","ventas@acerosdr.com.ar","CIUDADELA","TRES DE FEBRERO","BUENOS AIRES","","","ZONA NORTE","",""
"11848","ACEROS ELIZALDE SA","CUIT","33555486699","4625-4432","","VILLA LUZURIAGA","LA MATANZA","BUENOS AIRES","","","","",""
"11906","ACEROS FB SRL","CUIT","30714180475","4848-0067","","","","","","","ZONA NORTE","",""
"11834","ACEROS FIGUEROA S.R.L.","CUIT","30707891951","","","SAN MIGUEL DE TUCUMAN ,EST.TUCUMAN","CAPITAL","TUCUMAN","","","","",""
"11631","ACEROS INOXIDABLES FITZNER S.A.","CUIT","30654856849","4743-5818","","","","","","","","",""
"10536","ACEROS MAYORANO SRL","CUIT","","4601-1648602-8568651-0873","","Capital Federal","CABA","CIUDAD AUTONOMA DE BUENOS AIRES","","","CAPITAL FEDERAL","",""
"12276","ACEROS NOA SAS DE ALDO RUBEN AUTINO","CUIT","30716766892","0381-4333606/0381-4381334","","SAN MIGUEL","CRUZ ALTA","TUCUMAN","","","","",""
"11245","ACEROS SAN NICOLAS","CUIT","33710329279","0341-4301056/4393925","sannicolas@acsn.com.ar","ROSARIO","ROSARIO","SANTA FE","","","ZONA TRAFICAÑO","",""
"12998","ACEROS SUD S.A","CUIT","30708739746","[]","","","","","","","","",""
"12819","ACEROS SUDAMERICANOS S.R.L.","CUIT","30718700848","[]","","","","","","","","",""
"11049","ACEROTEK S.A.","CUIT","30715725475","4583-3333","compras@aceromat.com.ar","Capital Federal","CABA","CIUDAD AUTONOMA DE BUENOS AIRES","","","CAPITAL FEDERAL","",""
