"Código","Nombre","Díametro Exterior","Espesor Nominal","Largo Mínimo","Largo Máximo","Tipo Costura","Tipo de Acero","Tratamiento Térmico","Norma","Forma","Rubro","Materia prima"
"C0000001","12,70 x 0,90 x CCC LF SAE 1004/1008 IRAM 500-2590 (7700/7700)","12.7","0.9","7700","7700","CCC","SAE 1004/1008","LF","IRAM 500-2590","","","mp"
"C0000002","19,05 x 1,10 x CCC LF SAE 1004/1008 IRAM 500-2590 (6000/6000)","19.05","1.1","6000","6000","CCC","SAE 1004/1008","LF","IRAM 500-2590","","","mp"
"C0000003","19,05 x 2,00 x CC RI LC SAE 1008 DIN 2394 (5800/5800)","19.05","2","5800","5800","CC RI","SAE 1008","LC","DIN 2394","","","mp"
"C0000004","19,05 x 2,00 x CCC LF SAE 1004/1008 IRAM 500-2590 (5800/5800)","19.05","2","5800","5800","CCC","SAE 1004/1008","LF","IRAM 500-2590","","","mp"
"C0000005","21,30 x 2,00 x CC RI LC SAE 1010 DIN 2394 (6000/6000)","21.3","2","6000","6000","CC RI","SAE 1010","LC","DIN 2394","","","mp"
"C0000006","21,30 x 2,25 x CC RI LC SAE 1010 DIN 2394 (6000/6000)","21.3","2.25","6000","6000","CC RI","SAE 1010","LC","DIN 2394","","","mp"
"C0000007","21,30 x 2,65 x CC RI LC SAE 1010 DIN 2394 (6000/6000)","21.3","2.65","6000","6000","CC RI","SAE 1010","LC","DIN 2394","","","mp"
"C0000008","22,20 x 2,00 x CC RI LC SAE 1020 DIN 2394 (4100/4100)","22.2","2","4100","4100","CC RI","SAE 1020","LC","DIN 2394","","","mp"
"C0000009","25,40 x 2,00 x CCC LC SAE 1004/1008 IRAM 500-2590 (6000/6000)","25.4","2","6000","6000","CCC","SAE 1004/1008","LC","IRAM 500-2590","","","mp"
"C0000010","25,40 x 2,00 x CCC LC SAE 1004/1008 IRAM 500-2590 (6200/6200)","25.4","2","6200","6200","CCC","SAE 1004/1008","LC","IRAM 500-2590","","","mp"
"C0000011","25,40 x 2,00 x CCC LC SAE 1004/1008 IRAM 500-2590 (7160/7160)","25.4","2","7160","7160","CCC","SAE 1004/1008","LC","IRAM 500-2590","","","mp"
"C0000012","25,40 x 2,25 x CC RI LC SAE 1010 DIN 2394 (6000/6000)","25.4","2.25","6000","6000","CC RI","SAE 1010","LC","DIN 2394","","","mp"
"C0000013","25,40 x 2,65 x CC RI LC SAE 1010 DIN 2394 (6000/6000)","25.4","2.65","6000","6000","CC RI","SAE 1010","LC","DIN 2394","","","mp"
"C0000014","25,40 x 3,35 x CC RI LC SAE 1010 DIN 2394 (6000/6000)","25.4","3.35","6000","6000","CC RI","SAE 1010","LC","DIN 2394","","","mp"
"C0000015","26,70 x 2,00 x CC RI LC SAE 1008/1010   DIN 2394/ EN10305-3 (6000/6000)","26.7","2","6000","6000","CC RI","SAE 1008/1010  ","LC","DIN 2394/ EN10305-3","","","mp"
"C0000016","26,70 x 2,65 x CC RI LC SAE 1008/1010   DIN 2394 (6000/6000)","26.7","2.65","6000","6000","CC RI","SAE 1008/1010  ","LC","DIN 2394","","","mp"
"C0000017","26,70 x 3,00 x CC RI LC SAE 1010 DIN 2394/ EN10305-3 (6000/6000)","26.7","3","6000","6000","CC RI","SAE 1010","LC","DIN 2394/ EN10305-3","","","mp"
"C0000018","26,70 x 3,35 x CC RI LC SAE 1010 DIN 2394/ EN10305-3 (6000/6000)","26.7","3.35","6000","6000","CC RI","SAE 1010","LC","DIN 2394/ EN10305-3","","","mp"
"C0000019","26,70 x 3,75 x CC RI LC SAE 1010 DIN 2394 (7170/7170)","26.7","3.75","7170","7170","CC RI","SAE 1010","LC","DIN 2394","","","mp"
"C0000020","26,70 x 3,75 x CC RI LC SAE 1010 DIN 2394 (7885/7885)","26.7","3.75","7885","7885","CC RI","SAE 1010","LC","DIN 2394","","","mp"
"C0000021","26,70 x 3,75 x CC RI LC SAE 1010 DIN 2394 (8810/8810)","26.7","3.75","8810","8810","CC RI","SAE 1010","LC","DIN 2394","","","mp"
"C0000022","26,90 x 6,30 x CC RI LC SAE 1005 (5800/5800)","26.9","6.3","5800","5800","CC RI","SAE 1005","LC","","","","mp"
"C0000023","28,57 x 0,90 x CCC LF SAE 1008/1010   DIN 2394 (6000/6000)","28.57","0.9","6000","6000","CCC","SAE 1008/1010  ","LF","DIN 2394","","","mp"
"C0000024","28,60 x 2,65 x CC RI LC SAE 1010 DIN 2394 (6000/6000)","28.6","2.65","6000","6000","CC RI","SAE 1010","LC","DIN 2394","","","mp"
"C0000025","31,75 x 1,80 x CC RI LF SAE 1010 DIN 2394 (6000/6000)","31.75","1.8","6000","6000","CC RI","SAE 1010","LF","DIN 2394","","","mp"
"C0000026","31,75 x 2,00 x CCC MLF 340 IRAM 500-2590 (4100/4100)","31.75","2","4100","4100","CCC","MLF 340","","IRAM 500-2590","","","mp"
"C0000027","31,75 x 2,00 x CC RI LC SAE 1008/1010   DIN 2394 (6000/6000)","31.75","2","6000","6000","CC RI","SAE 1008/1010  ","LC","DIN 2394","","","mp"
"C0000028","31,75 x 2,25 x CC RI LC SAE 1008/1010   DIN 2394 (6000/6000)","31.75","2.25","6000","6000","CC RI","SAE 1008/1010  ","LC","DIN 2394","","","mp"
"C0000029","31,75 x 2,35 x CC RI LC SAE 1004/1008 IRAM 500-2590 (6000/6000)","31.75","2.35","6000","6000","CC RI","SAE 1004/1008","LC","IRAM 500-2590","","","mp"
"C0000030","31,75 x 2,65 x CC RI LC SAE 1008/1010   DIN 2394 (6000/6000)","31.75","2.65","6000","6000","CC RI","SAE 1008/1010  ","LC","DIN 2394","","","mp"
"C0000031","31,75 x 3,00 x CC RI LC SAE 1010 DIN 2394 (6000/6000)","31.75","3","6000","6000","CC RI","SAE 1010","LC","DIN 2394","","","mp"
"C0000032","31,75 x 3,35 x CC RI LC SAE 1020 DIN 2394 (6000/6000)","31.75","3.35","6000","6000","CC RI","SAE 1020","LC","DIN 2394","","","mp"
"C0000033","31,75 x 3,75 x CC RI LC SAE 1010 DIN 2394 (6000/6000)","31.75","3.75","6000","6000","CC RI","SAE 1010","LC","DIN 2394","","","mp"
"C0000034","33,40 x 2,00 x CC RI LC SAE 1021 EN 10305-3 E275+N (7100/7100)","33.4","2","7100","7100","CC RI","SAE 1021","LC","EN 10305-3 E275+N","","","mp"
"C0000035","33,40 x 2,85 x CC RI LC SAE 1004/1008 ASTM A 53 Gr A (6400/6400)","33.4","2.85","6400","6400","CC RI","SAE 1004/1008","LC","ASTM A 53 Gr A","","","mp"
"C0000036","33,40 x 3,00 x CC RI LC SAE 1010 DIN 2394 (6000/6000)","33.4","3","6000","6000","CC RI","SAE 1010","LC","DIN 2394","","","mp"
"C0000037","33,40 x 3,35 x CC RI LC SAE 1010 DIN 2394 (6000/6000)","33.4","3.35","6000","6000","CC RI","SAE 1010","LC","DIN 2394","","","mp"
"C0000038","33,40 x 3,35 x CC RI LC SAE 1020 DIN 2394 (6000/6000)","33.4","3.35","6000","6000","CC RI","SAE 1020","LC","DIN 2394","","","mp"
"C0000039","33,40 x 3,75 x CC RI LC SAE 1010 DIN 2394 (6000/6000)","33.4","3.75","6000","6000","CC RI","SAE 1010","LC","DIN 2394","","","mp"
"C0000040","33,40 x 4,00 x CC RI LC SAE 1004/1008 ASTM A 53 Gr A (6400/6400)","33.4","4","6400","6400","CC RI","SAE 1004/1008","LC","ASTM A 53 Gr A","","","mp"
"C0000041","33,40 x 4,00 x CC RI LC SAE 1010 DIN 2394 (6000/6000)","33.4","4","6000","6000","CC RI","SAE 1010","LC","DIN 2394","","","mp"
