"Lista de precios","Producto","UOM","Proveedor","Precio"
"COMPRA","TEE RED (88,90x60,30x5,49x3,91) ASTM A 234 GB WPB PESO 3,76 3x2"" SCH 40/STD","UNIDAD","FITTINGS HAN'S PIPE","0.00"
"COMPRA","TEE RED (88,90x48,30x7,62x5,08) ASTM A 234 GB WPB PESO 4,35 3x1 1/2"" SCH 80","UNIDAD","FITTINGS HAN'S PIPE","0.00"
"COMPRA","TEE RED (60,30x48,30x5,54x5,08) ASTM A 234 GB WPB PESO 2,15 2x1 1/2"" SCH 80","UNIDAD","FITTINGS HAN'S PIPE","0.00"
"COMPRA","TEE RED (60,30x48,30x3,91x3,68) ASTM A 234 GB WPB PESO 1,48 2x1 1/2"" SCH 40/STD","UNIDAD","FITTINGS HAN'S PIPE","0.00"
"COMPRA","TEE RED (60,30x33,40x5,54x4,55) ASTM A 234 GB WPB PESO 2,15 2x1"" SCH 80","UNIDAD","FITTINGS HAN'S PIPE","0.00"
"COMPRA","TEE RED (60,30x33,40x3,91x3,38) ASTM A 234 GB WPB PESO 1,48 2x1"" SCH 40/STD","UNIDAD","FITTINGS HAN'S PIPE","0.00"
"COMPRA","TEE RED (48,30x33,40x3,68x3,38) ASTM A 234 GB WPB PESO 0,92 1 1/2x1"" SCH 40/STD","UNIDAD","FITTINGS HAN'S PIPE","0.00"
"VENTA","TEE RED (323,80x273,00x10,31) ASTM A 234 GB WPB PESO 53,10 12x10"" SCH 40","UNIDAD","","835.95"
"REVENDEDOR","TEE RED (323,80x273,00x10,31) ASTM A 234 GB WPB PESO 53,10 12x10"" SCH 40","UNIDAD","","835.95"
"VENTA","TEE RED (273,00x219,10x9,27) ASTM A 234 GB WPB PESO 36,40 10x8"" SCH 40","UNIDAD","","480.23"
"REVENDEDOR","TEE RED (273,00x219,10x9,27) ASTM A 234 GB WPB PESO 36,40 10x8"" SCH 40","UNIDAD","","480.23"
"COMPRA","TEE RED (273,00x168,30x15,09x10,97) ASTM A 234 GB WPB PESO 67,50 10x6"" SCH 80","UNIDAD","FITTINGS HAN'S PIPE","0.00"
"VENTA","TEE RED (273,00x114,30x9,27) ASTM A 234 GB WPB PESO 32,20 10x4"" SCH 40","UNIDAD","","480.23"
"REVENDEDOR","TEE RED (273,00x114,30x9,27) ASTM A 234 GB WPB PESO 32,20 10x4"" SCH 40","UNIDAD","","480.23"
"COMPRA","TEE RED (219,10x168,30x8,18x7,11) ASTM A 234 GB WPB PESO 24,50 8x6"" SCH 40/STD","UNIDAD","FITTINGS HAN'S PIPE","0.00"
"COMPRA","TEE RED (219,10x168,30x12,70x10,97) ASTM A 234 GB WPB PESO 34,50 8x6"" SCH 80","UNIDAD","FITTINGS HAN'S PIPE","0.00"
"COMPRA","TEE RED (219,10x114,30x8,18x6,02) ASTM A 234 GB WPB PESO 24,50 8x4"" SCH 40/STD","UNIDAD","FITTINGS HAN'S PIPE","0.00"
"COMPRA","TEE RED (168,30x88,90x18,26x11,13) ASTM A 234 GB WPB PESO 29,09 6x3"" SCH 160","UNIDAD","FITTINGS HAN'S PIPE","0.00"
"COMPRA","TEE RED (168,30x114,30x7,11x6,02) ASTM A 234 GB WPB PESO 15,20 6x4"" SCH 40x40","UNIDAD","FITTINGS HAN'S PIPE","0.00"
"COMPRA","TEE RED (114,30x88,90x8,56x7,62) ASTM A 234 GB WPB PESO 7,66 4x3"" SCH 80","UNIDAD","FITTINGS HAN'S PIPE","0.00"
"COMPRA","TEE RED (114,30x88,90x6,02x5,49) ASTM A 234 GB WPB PESO 6,50 4x3"" SCH 40/STD","UNIDAD","FITTINGS HAN'S PIPE","0.00"
"COMPRA","TEE RED (114,30x60,30x8,56x5,54) ASTM A 234 GB WPB PESO 7,66 4x2"" SCH 80","UNIDAD","FITTINGS HAN'S PIPE","0.00"
"VENTA","TEE EQUAL (88,90x5,49) ASTM A 234 GB WPB PESO 2,85 3"" SCH 40","UNIDAD","","22.83"
"REVENDEDOR","TEE EQUAL (88,90x5,49) ASTM A 234 GB WPB PESO 2,85 3"" SCH 40","UNIDAD","","22.83"
"COMPRA","TEE EQUAL (88,90x5,49) ASTM A 234 GB WPB PESO 2,85 3"" SCH 40","UNIDAD","FITTINGS HAN'S PIPE","0.00"
"VENTA","TEE EQUAL (73,00x5,16) ASTM A 234 GB WPB PESO 1,90 2 1/2"" SCH 40","UNIDAD","","12.72"
"REVENDEDOR","TEE EQUAL (73,00x5,16) ASTM A 234 GB WPB PESO 1,90 2 1/2"" SCH 40","UNIDAD","","12.72"
"COMPRA","TEE EQUAL (73,00x5,16) ASTM A 234 GB WPB PESO 1,90 2 1/2"" SCH 40","UNIDAD","FITTINGS HAN'S PIPE","0.00"
"VENTA","TEE EQUAL (60,30x3,91) ASTM A 234 GB WPB PESO 0,99 2""","UNIDAD","","8.76"
"REVENDEDOR","TEE EQUAL (60,30x3,91) ASTM A 234 GB WPB PESO 0,99 2""","UNIDAD","","8.76"
"COMPRA","TEE EQUAL (60,30x3,91) ASTM A 234 GB WPB PESO 0,99 2""","UNIDAD","FITTINGS HAN'S PIPE","0.00"
"COMPRA","TEE EQUAL (48,30x3,68) ASTM A 234 B16.9 BW PESO 0,92 1 1/2"" SCH 40/STD","UNIDAD","FITTINGS HAN'S PIPE","0.00"
"VENTA","TEE EQUAL (33,40x3,38) ASTM A 234 GB WPB PESO 0,25 1""","UNIDAD","","5.34"
"REVENDEDOR","TEE EQUAL (33,40x3,38) ASTM A 234 GB WPB PESO 0,25 1""","UNIDAD","","5.34"
"COMPRA","TEE EQUAL (33,40x3,38) ASTM A 234 GB WPB PESO 0,25 1""","UNIDAD","FITTINGS HAN'S PIPE","2.47"
"COMPRA","TEE EQUAL (323,80x9,52) ASTM A 234 B16.9 BW PESO 65,00 12"" SCH STD","UNIDAD","FITTINGS HAN'S PIPE","0.00"
"VENTA","TEE EQUAL (323,80x6,35) ASTM A 234 GB WPB PESO 42,00 12"" SCH 20","UNIDAD","","401.09"
"REVENDEDOR","TEE EQUAL (323,80x6,35) ASTM A 234 GB WPB PESO 42,00 12"" SCH 20","UNIDAD","","401.09"
"COMPRA","TEE EQUAL (323,80x6,35) ASTM A 234 GB WPB PESO 42,00 12"" SCH 20","UNIDAD","FITTINGS HAN'S PIPE","175.20"
"VENTA","TEE EQUAL (323,80x10,31) ASTM A 234 GB WPB PESO 41,23 12"" SCH 40","UNIDAD","","467.07"
